4,,FARIDABAD,0.3,4.3,-92%,LD,47.7,46.1,3%,N
5,,FATEHABAD,0.0,4.1,-100%,NR,16.9,37.6,-55%,D
6,,GURGAON,2.8,6.5,-56%,D,62.6,47.1,33%,E
7,,HISAR,10.9,4.7,132%,LE,24.0,43.4,-45%,D
8,,JHAJJAR,10.8,4.9,120%,LE,27.8,36.7,-24%,D
9,,JIND,1.4,3.4,-60%,LD,38.6,56.6,-32%,D
10,,KAITHAL,2.1,2.7,-21%,D,11.0,54.5,-80%,LD
11,,KARNAL,2.8,8.4,-67%,LD,15.9,79.5,-80%,LD
12,,KURUKSHETRA,0.0,4.6,-100%,NR,19.6,61.7,-68%,LD
13,,MAHENDRAGARH,7.3,2.2,231%,LE,24.5,58.2,-58%,D
14,,NUH,9.1,6.4,43%,E,76.8,49.1,56%,E
15,,PALWAL,11.0,3.8,189%,LE,23.5,33.2,-29%,D
16,,PANCHKULA,1.0,6.7,-85%,LD,8.4,106.8,-92%,LD
17,,PANIPAT,35.8,4.5,696%,LE,59.9,58.3,3%,N
18,,REWARI,3.6,3.6,-1%,N,32.2,50.3,-36%,D
19,,ROHTAK,28.6,8.6,233%,LE,36.2,54.6,-34%,D
20,,SIRSA,0.0,3.0,-100%,NR,24.9,36.1,-31%,D
21,,SONEPAT,12.1,5.5,120%,LE,41.0,57.0,-28%,D
22,,YAMUNA NAGAR,0.0,10.2,-100%,NR,16.9,125.2,-86%,LD
1,,CENTRAL DELHI,0.0,4.0,-100%,NR,109.2,77.5,41%,E
2,,EAST DELHI,0.0,4.0,-100%,NR,91.5,77.5,18%,N
3,,NEW DELHI,9.3,7.4,26%,E,184.0,74.1,148%,LE
4,,NORTH DELHI,0.0,2.9,-100%,NR,167.0,60.7,175%,LE
5,,NORTH EAST DELHI,,4.0,,*,29.0,77.5,-63%,LD
6,,NORTH WEST DELHI,0.0,3.5,-100%,NR,175.5,52.7,233%,LE
7,,SOUTH DELHI,0.0,4.0,-100%,NR,61.3,77.5,-21%,D
8,,SOUTH WEST DELHI,2.4,9.2,-74%,LD,53.2,69.9,-24%,D
9,,WEST DELHI,0.0,12.5,-100%,NR,1.0,68.8,-99%,LD
1,,AMRITSAR,27.0,4.6,488%,LE,35.8,48.9,-27%,D
2,,BARNALA,0.0,4.4,-100%,NR,35.2,51.3,-31%,D
3,,BHATINDA,0.0,4.2,-100%,NR,8.7,43.3,-80%,LD
4,,FARIDKOT,0.0,2.7,-100%,NR,12.1,50.1,-76%,LD
5,,FATEHGARH SAHIB,0.0,5.2,-100%,NR,9.3,57.1,-84%,LD
6,,FAZILKA,0.0,3.3,-100%,NR,25.8,32.5,-21%,D
7,,FEROZEPUR,0.5,2.4,-79%,LD,3.5,30.6,-88%,LD
8,,GURDASPUR,12.1,10.2,18%,N,34.1,66.9,-49%,D
9,,HOSHIARPUR,0.0,5.5,-100%,NR,9.4,71.0,-87%,LD
10,,JALANDHAR,8.2,3.8,116%,LE,22.4,58.5,-62%,LD
11,,KAPURTHALA,,5.0,,*,67.5,53.5,26%,E
12,,LUDHIANA,0.0,4.9,-100%,NR,32.3,59.3,-46%,D
13,,MANSA,0.0,2.6,-100%,NR,7.2,38.5,-81%,LD
14,,MOGA,0.0,3.9,-100%,NR,16.7,45.2,-63%,LD
15,,MUKTSAR,0.0,5.1,-100%,NR,18.0,51.0,-65%,LD
16,,PATHANKOT,1.8,7.8,-76%,LD,32.6,83.8,-61%,LD
17,,PATIALA,0.0,4.3,-100%,NR,22.3,65.2,-66%,LD
18,,RUPNAGAR,0.0,10.4,-100%,NR,21.2,98.0,-78%,LD
19,,SANGRUR,0.0,4.4,-100%,NR,87.9,48.2,82%,LE
20,,SAS NAGAR (MOHALI),0.0,6.7,-100%,NR,10.5,93.2,-89%,LD
21,,SBS NAGAR,0.0,9.1,-100%,NR,50.9,103.9,-51%,D
22,,TARN TARAN,11.3,2.5,354%,LE,18.7,24.2,-23%,D
